run_id,run_label,scenario,cluster,round,writer_instance,reader_instance,client_instance,tps,tps_config,writeMaxMs,readMaxMs,result_dir
M1,v17-M1-r7glarge-tps1280,blue-green,test-v11-1,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,4140,4140,e2e-results/v17-M1-r7glarge-tps1280-blue-green-test-v11-1-r1_20260523_222619
M1,v17-M1-r7glarge-tps1280,blue-green,test-v11-2,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,4090,4080,e2e-results/v17-M1-r7glarge-tps1280-blue-green-test-v11-2-r1_20260523_222518
M1,v17-M1-r7glarge-tps1280,blue-green,test-v11-3,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,5130,5090,e2e-results/v17-M1-r7glarge-tps1280-blue-green-test-v11-3-r1_20260523_222418
M1,v17-M1-r7glarge-tps1280,blue-green,test-v11-4,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,4080,4090,e2e-results/v17-M1-r7glarge-tps1280-blue-green-test-v11-4-r1_20260523_222449
M1,v17-M1-r7glarge-tps1280,blue-green,test-v11-5,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,5340,5320,e2e-results/v17-M1-r7glarge-tps1280-blue-green-test-v11-5-r1_20260523_222518
M1,v17-M1-r7glarge-tps1280,failover,test-v11-1,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,11280,11250,e2e-results/v17-M1-r7glarge-tps1280-failover-test-v11-1-r1_20260523_222926
M1,v17-M1-r7glarge-tps1280,failover,test-v11-2,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,9550,9531,e2e-results/v17-M1-r7glarge-tps1280-failover-test-v11-2-r1_20260523_222826
M1,v17-M1-r7glarge-tps1280,failover,test-v11-3,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,9860,9830,e2e-results/v17-M1-r7glarge-tps1280-failover-test-v11-3-r1_20260523_222725
M1,v17-M1-r7glarge-tps1280,failover,test-v11-4,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,7620,7600,e2e-results/v17-M1-r7glarge-tps1280-failover-test-v11-4-r1_20260523_222755
M1,v17-M1-r7glarge-tps1280,failover,test-v11-5,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,9560,9530,e2e-results/v17-M1-r7glarge-tps1280-failover-test-v11-5-r1_20260523_222826
M1,v17-M1-r7glarge-tps1280,reboot,test-v11-1,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,120,60,e2e-results/v17-M1-r7glarge-tps1280-reboot-test-v11-1-r1_20260523_223204
M1,v17-M1-r7glarge-tps1280,reboot,test-v11-2,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,200,90,e2e-results/v17-M1-r7glarge-tps1280-reboot-test-v11-2-r1_20260523_223105
M1,v17-M1-r7glarge-tps1280,reboot,test-v11-3,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,190,30,e2e-results/v17-M1-r7glarge-tps1280-reboot-test-v11-3-r1_20260523_223004
M1,v17-M1-r7glarge-tps1280,reboot,test-v11-4,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,190,140,e2e-results/v17-M1-r7glarge-tps1280-reboot-test-v11-4-r1_20260523_223034
M1,v17-M1-r7glarge-tps1280,reboot,test-v11-5,1,r7g.large,t3.medium,c6i.2xlarge,1280,v17-tps1280,190,70,e2e-results/v17-M1-r7glarge-tps1280-reboot-test-v11-5-r1_20260523_223105
M2,v17-M2-r7g2xl-tps1280,blue-green,test-v11-1,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,3880,3870,e2e-results/v17-M2-r7g2xl-tps1280-blue-green-test-v11-1-r1_20260523_184158
M2,v17-M2-r7g2xl-tps1280,blue-green,test-v11-2,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,3560,3560,e2e-results/v17-M2-r7g2xl-tps1280-blue-green-test-v11-2-r1_20260523_184159
M2,v17-M2-r7g2xl-tps1280,blue-green,test-v11-3,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,4580,4570,e2e-results/v17-M2-r7g2xl-tps1280-blue-green-test-v11-3-r1_20260523_184158
M2,v17-M2-r7g2xl-tps1280,blue-green,test-v11-4,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,3600,3600,e2e-results/v17-M2-r7g2xl-tps1280-blue-green-test-v11-4-r1_20260523_184158
M2,v17-M2-r7g2xl-tps1280,blue-green,test-v11-5,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,4630,4620,e2e-results/v17-M2-r7g2xl-tps1280-blue-green-test-v11-5-r1_20260523_184429
M2,v17-M2-r7g2xl-tps1280,failover,test-v11-1,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,8720,8700,e2e-results/v17-M2-r7g2xl-tps1280-failover-test-v11-1-r1_20260523_184507
M2,v17-M2-r7g2xl-tps1280,failover,test-v11-2,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,12000,12000,e2e-results/v17-M2-r7g2xl-tps1280-failover-test-v11-2-r1_20260523_184508
M2,v17-M2-r7g2xl-tps1280,failover,test-v11-3,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,7010,6990,e2e-results/v17-M2-r7g2xl-tps1280-failover-test-v11-3-r1_20260523_184507
M2,v17-M2-r7g2xl-tps1280,failover,test-v11-4,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,6920,6900,e2e-results/v17-M2-r7g2xl-tps1280-failover-test-v11-4-r1_20260523_184508
M2,v17-M2-r7g2xl-tps1280,failover,test-v11-5,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,11460,11450,e2e-results/v17-M2-r7g2xl-tps1280-failover-test-v11-5-r1_20260523_184737
M2,v17-M2-r7g2xl-tps1280,reboot,test-v11-1,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,40,0,e2e-results/v17-M2-r7g2xl-tps1280-reboot-test-v11-1-r1_20260523_184746
M2,v17-M2-r7g2xl-tps1280,reboot,test-v11-2,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,30,0,e2e-results/v17-M2-r7g2xl-tps1280-reboot-test-v11-2-r1_20260523_184747
M2,v17-M2-r7g2xl-tps1280,reboot,test-v11-3,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,20,10,e2e-results/v17-M2-r7g2xl-tps1280-reboot-test-v11-3-r1_20260523_184746
M2,v17-M2-r7g2xl-tps1280,reboot,test-v11-4,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,50,0,e2e-results/v17-M2-r7g2xl-tps1280-reboot-test-v11-4-r1_20260523_184747
M2,v17-M2-r7g2xl-tps1280,reboot,test-v11-5,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v17-tps1280,30,0,e2e-results/v17-M2-r7g2xl-tps1280-reboot-test-v11-5-r1_20260523_185015
M3,v17-M3-r7g4xl-tps1280,blue-green,test-v11-1,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,3540,3530,e2e-results/v17-M3-r7g4xl-tps1280-blue-green-test-v11-1-r1_20260524_060332
M3,v17-M3-r7g4xl-tps1280,blue-green,test-v11-2,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,3772,3772,e2e-results/v17-M3-r7g4xl-tps1280-blue-green-test-v11-2-r1_20260524_060432
M3,v17-M3-r7g4xl-tps1280,blue-green,test-v11-3,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,4370,4360,e2e-results/v17-M3-r7g4xl-tps1280-blue-green-test-v11-3-r1_20260524_060331
M3,v17-M3-r7g4xl-tps1280,blue-green,test-v11-4,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,3740,3704,e2e-results/v17-M3-r7g4xl-tps1280-blue-green-test-v11-4-r1_20260524_060331
M3,v17-M3-r7g4xl-tps1280,blue-green,test-v11-5,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,4420,4410,e2e-results/v17-M3-r7g4xl-tps1280-blue-green-test-v11-5-r1_20260524_060331
M3,v17-M3-r7g4xl-tps1280,failover,test-v11-1,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,8840,8830,e2e-results/v17-M3-r7g4xl-tps1280-failover-test-v11-1-r1_20260524_060641
M3,v17-M3-r7g4xl-tps1280,failover,test-v11-2,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,8940,8940,e2e-results/v17-M3-r7g4xl-tps1280-failover-test-v11-2-r1_20260524_060739
M3,v17-M3-r7g4xl-tps1280,failover,test-v11-3,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,8480,8470,e2e-results/v17-M3-r7g4xl-tps1280-failover-test-v11-3-r1_20260524_060640
M3,v17-M3-r7g4xl-tps1280,failover,test-v11-4,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,8370,8340,e2e-results/v17-M3-r7g4xl-tps1280-failover-test-v11-4-r1_20260524_060640
M3,v17-M3-r7g4xl-tps1280,failover,test-v11-5,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,6900,6880,e2e-results/v17-M3-r7g4xl-tps1280-failover-test-v11-5-r1_20260524_060640
M3,v17-M3-r7g4xl-tps1280,reboot,test-v11-1,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,40,0,e2e-results/v17-M3-r7g4xl-tps1280-reboot-test-v11-1-r1_20260524_060920
M3,v17-M3-r7g4xl-tps1280,reboot,test-v11-2,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,40,10,e2e-results/v17-M3-r7g4xl-tps1280-reboot-test-v11-2-r1_20260524_061018
M3,v17-M3-r7g4xl-tps1280,reboot,test-v11-3,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,30,0,e2e-results/v17-M3-r7g4xl-tps1280-reboot-test-v11-3-r1_20260524_060920
M3,v17-M3-r7g4xl-tps1280,reboot,test-v11-4,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,30,0,e2e-results/v17-M3-r7g4xl-tps1280-reboot-test-v11-4-r1_20260524_060919
M3,v17-M3-r7g4xl-tps1280,reboot,test-v11-5,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v17-tps1280,30,0,e2e-results/v17-M3-r7g4xl-tps1280-reboot-test-v11-5-r1_20260524_060919
M4,v17-M4-r7g8xl-tps1280,blue-green,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v17-tps1280,3370,3380,e2e-results/v17-M4-r7g8xl-tps1280-blue-green-test-v11-1-r1_20260524_102334
M4,v17-M4-r7g8xl-tps1280,blue-green,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.4xlarge,1280,v17-tps1280,3270,3260,e2e-results/v17-M4-r7g8xl-tps1280-blue-green-test-v11-2-r1_20260524_102304
