run_id,run_label,scenario,cluster,round,writer_instance,reader_instance,client_instance,tps,tps_config,writeMaxMs,readMaxMs,result_dir
M2,v16-M2-r7g2xl-tps1280,reboot,test-v11-2,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M2-r7g2xl-tps1280-reboot-test-v11-2-r1_20260521_103029
M2,v16-M2-r7g2xl-tps1280,reboot,test-v11-3,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M2-r7g2xl-tps1280-reboot-test-v11-3-r1_20260521_103129
M2,v16-M2-r7g2xl-tps1280,reboot,test-v11-4,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M2-r7g2xl-tps1280-reboot-test-v11-4-r1_20260521_102958
M2,v16-M2-r7g2xl-tps1280,reboot,test-v11-5,1,r7g.2xlarge,r7g.large,c6i.2xlarge,1280,v16-tps1280,0,0,e2e-results/v16-M2-r7g2xl-tps1280-reboot-test-v11-5-r1_20260521_103028
M3,v16-M3-r7g4xl-tps1280,blue-green,test-v11-1,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,3900,3900,e2e-results/v16-M3-r7g4xl-tps1280-blue-green-test-v11-1-r1_20260521_141800
M3,v16-M3-r7g4xl-tps1280,blue-green,test-v11-2,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,3300,3300,e2e-results/v16-M3-r7g4xl-tps1280-blue-green-test-v11-2-r1_20260521_141700
M3,v16-M3-r7g4xl-tps1280,blue-green,test-v11-3,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,15300,15300,e2e-results/v16-M3-r7g4xl-tps1280-blue-green-test-v11-3-r1_20260521_141700
M3,v16-M3-r7g4xl-tps1280,blue-green,test-v11-4,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,3300,3270,e2e-results/v16-M3-r7g4xl-tps1280-blue-green-test-v11-4-r1_20260521_141730
M3,v16-M3-r7g4xl-tps1280,blue-green,test-v11-5,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,4301,4301,e2e-results/v16-M3-r7g4xl-tps1280-blue-green-test-v11-5-r1_20260521_141730
M3,v16-M3-r7g4xl-tps1280,failover,test-v11-1,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,10900,10900,e2e-results/v16-M3-r7g4xl-tps1280-failover-test-v11-1-r1_20260521_142107
M3,v16-M3-r7g4xl-tps1280,failover,test-v11-2,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,11100,11100,e2e-results/v16-M3-r7g4xl-tps1280-failover-test-v11-2-r1_20260521_142007
M3,v16-M3-r7g4xl-tps1280,failover,test-v11-3,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,8300,8300,e2e-results/v16-M3-r7g4xl-tps1280-failover-test-v11-3-r1_20260521_142007
M3,v16-M3-r7g4xl-tps1280,failover,test-v11-4,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,11200,11100,e2e-results/v16-M3-r7g4xl-tps1280-failover-test-v11-4-r1_20260521_142038
M3,v16-M3-r7g4xl-tps1280,failover,test-v11-5,1,r7g.4xlarge,r7g.large,c6i.4xlarge,1280,v16-tps1280,8300,8300,e2e-results/v16-M3-r7g4xl-tps1280-failover-test-v11-5-r1_20260521_142038
